geneSymbol	proteinName
FAM107B	Q9H098
ME1	P48163
TBC1D1	Q86TI0
CDK13	Q14004
MTHFD2	P13995
SLC9A7	Q96T83
FOXJ2	Q9P0K8
YBX1	P67809
PDE4A	P27815
PPP2R5A	Q15172
CTNNA2	P26232
ELAVL1	Q15717
TIE1	P35590
DIP2B	Q9P265
SMARCD1	Q96GM5
KDM4A	O75164
NFYC	Q13952
ZMYND12	Q9H0C1
SLC9A3	P48764
NGEF	Q8N5V2
ASPM	Q8IZT6
CD84	Q9UIB8
ELOVL1	Q9BW60
SPI1	P17947
ZNRD1	Q9P1U0
MPPED2	Q15777
CLDN18	P56856
ZBTB11	O95625
ATXN3	P54252
GOLGA5	Q8TBA6
FGFR2	P21802
LRRC40	Q9H9A6
ISOC1	Q96CN7
EML1	O00423
TRMT11	Q7Z4G4
THUMPD1	Q9NXG2
C9orf30	Q96H12
KIF26A	Q9ULI4
ATG2B	Q96BY7
ARFGEF1	Q9Y6D6
ACSM2B	Q68CK6
ZFAT	Q9P243
MTFR1	Q15390
STAG3	Q9UJ98
FECH	P22830
MYO9A	B2RTY4
DDX3Y	O15523
PFKP	Q01813
IDI1	Q13907
SP100	P23497
KLF6	Q99612
PPAP2A	O14494
NEO1	Q92859
TRAM1	Q15629
PHKA1	P46020
TNFRSF1A	P19438
CACNB1	Q02641
EVI5	O60447
STOML1	Q9UBI4
PKM2	P14618
DHX29	Q7Z478
DNTTIP2	Q5QJE6
C16orf68	Q9BUU2
TP53BP1	Q12888
TRO	Q12816
RRP15	Q9Y3B9
RHOA	P61586
DHX8	Q14562
PRKCZ	Q05513
ZFY	P08048
IARS2	Q9NSE4
SYT1	P21579
NAV3	Q8IVL0
IDH3G	P51553
ROGDI	Q9GZN7
PDZD4	Q76G19
ATP2B3	Q16720
ROCK1	Q13464
CBFB	Q13951
PDK3	Q15120
HYAL2	Q12891
HDAC4	P56524
RASSF1	Q9NS23
FGFR3	P22607
IFI35	P80217
HEATR6	Q6AI08
COASY	Q13057
