locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSG00000006788,MYH13,7,"455,452,348,454,456,457,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006831,ADIPOR2,7,"453,348,452,457,456,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006837,CDKL3,9,"455,454,456,457,348,453,451,452,459","NE,NE,NE,NE,E,NE,E,NE,E",Conditional
ENSG00000007001,UPP2,7,"457,455,452,348,454,453,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007038,PRSS21,7,"456,455,453,457,348,454,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007047,MARK4,7,"452,457,456,453,455,454,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000007062,PROM1,8,"348,453,451,456,457,454,452,455","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000007080,CCDC124,7,"455,456,348,457,453,452,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007129,CEACAM21,7,"457,456,455,454,348,452,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007168,PAFAH1B1,9,"453,456,454,457,455,451,348,452,459","E,E,E,E,E,E,NE,E,E",Conditional
ENSG00000007171,NOS2,7,"457,454,455,453,456,452,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007174,DNAH9,7,"453,456,455,454,452,348,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007202,KIAA0100,8,"456,453,457,459,455,454,348,452","NE,E,NE,E,NE,NE,NE,E",Conditional
ENSG00000007216,SLC13A2,8,"452,459,457,456,348,453,455,454","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000007237,GAS7,7,"457,455,453,456,454,452,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000007255,TRAPPC6A,7,"348,452,454,457,455,456,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007264,MATK,7,"457,453,348,454,455,456,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007306,CEACAM7,7,"454,452,348,453,457,456,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007312,CD79B,7,"455,348,454,452,456,453,457","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000007314,SCN4A,6,"455,451,348,454,452,456","NE,E,NE,NE,NE,NE",Conditional
ENSG00000007341,ST7L,7,"456,457,348,455,452,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007350,TKTL1,7,"453,454,348,457,456,452,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007372,PAX6,7,"455,457,348,454,452,453,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007376,RPUSD1,7,"348,456,454,455,457,453,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007384,RHBDF1,8,"454,455,348,456,452,453,457,459","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000007392,LUC7L,7,"457,455,456,348,454,453,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007402,CACNA2D2,8,"453,452,457,456,455,454,348,451","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000007516,BAIAP3,7,"452,453,348,456,455,454,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007520,C16orf42,8,"456,452,457,459,348,453,454,455","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000007541,PIGQ,8,"459,457,452,456,348,453,454,455","E,NE,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000007545,CRAMP1L,1,348,NE,Nonessential
ENSG00000007866,TEAD3,8,"348,459,457,455,456,452,454,453","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000007908,SELE,8,"454,453,456,457,449,348,455,452","NE,NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000007923,DNAJC11,9,"459,454,456,451,348,457,455,452,453","E,NE,E,E,NE,E,E,NE,E",Conditional
ENSG00000007933,FMO3,7,"453,348,452,456,454,455,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000007944,MYLIP,10,"456,453,457,459,442,451,452,348,455,454","NE,NE,NE,E,E,E,NE,NE,NE,NE",Conditional
ENSG00000007952,NOX1,7,"454,452,453,457,456,348,455","NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000007968,E2F2,7,"455,456,453,452,457,348,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008018,PSMB1,8,"454,456,455,452,453,459,348,457","E,E,E,E,E,E,E,E",Essential
ENSG00000008056,SYN1,7,"453,454,452,455,456,348,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008083,JARID2,7,"455,454,453,457,452,348,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008086,CDKL5,7,"453,452,455,454,348,456,457","NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000008118,CAMK1G,7,"457,454,455,453,456,348,452","NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000008128,CDK11A,8,"453,457,459,452,455,454,348,456","NE,NE,E,NE,NE,NE,E,NE",Conditional
ENSG00000008130,NADK,9,"456,455,451,453,452,459,457,348,454","NE,NE,E,E,E,E,NE,NE,NE",Conditional
ENSG00000008196,TFAP2B,7,"453,454,455,456,348,452,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008197,TFAP2D,7,"457,456,454,453,452,455,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008226,DLEC1,7,"348,456,457,454,453,455,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008256,CYTH3,7,"348,452,457,456,454,455,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008277,ADAM22,8,"453,452,348,451,455,454,456,457","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000008282,SYPL1,7,"454,453,457,456,455,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008283,CYB561,6,"457,453,454,452,455,456","NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008294,SPAG9,7,"456,453,454,457,348,455,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008300,CELSR3,7,"452,459,456,453,457,455,454","NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000008311,AASS,7,"453,452,348,454,456,455,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008323,PLEKHG6,7,"454,453,452,457,455,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008324,SS18L2,6,"348,452,454,456,459,455","NE,E,E,E,E,NE",Conditional
ENSG00000008382,MPND,7,"455,452,348,453,457,454,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008394,MGST1,7,"456,348,455,452,454,453,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008405,CRY1,8,"455,451,457,348,456,453,452,454","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000008438,PGLYRP1,7,"348,455,454,457,452,456,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008441,NFIX,7,"453,454,455,348,456,457,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008513,ST3GAL1,5,"452,455,454,348,456","NE,NE,NE,NE,NE",Nonessential
ENSG00000008516,MMP25,7,"456,455,452,453,348,457,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008517,IL32,7,"454,455,456,457,452,453,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008710,PKD1,7,"348,454,452,456,455,453,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008735,MAPK8IP2,1,348,NE,Nonessential
ENSG00000008838,MED24,7,"457,454,455,456,453,452,348","NE,E,E,NE,NE,E,NE",Conditional
ENSG00000008853,RHOBTB2,7,"348,452,457,456,453,454,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008869,HEATR5B,7,"455,456,348,452,454,453,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000008952,SEC62,8,"457,348,455,456,459,453,452,454","E,NE,NE,NE,E,E,NE,NE",Conditional
ENSG00000008988,RPS20,8,"453,457,456,455,454,348,452,459","NE,E,E,NE,E,NE,NE,E",Conditional
ENSG00000009307,CSDE1,8,"459,454,456,457,455,452,348,453","E,E,NE,E,E,NE,NE,E",Conditional
ENSG00000009335,UBE3C,7,"456,457,453,454,455,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000009413,REV3L,8,"452,457,453,348,459,456,455,454","E,E,E,NE,E,E,NE,NE",Conditional
ENSG00000009694,ODZ1,7,"457,453,454,452,455,348,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000009709,PAX7,7,"456,457,454,348,453,452,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000009724,MASP2,7,"456,454,455,457,348,452,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000009765,IYD,8,"453,455,454,451,457,456,348,452","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000009780,FAM76A,7,"348,452,453,456,454,455,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000009790,TRAF3IP3,7,"452,454,453,456,455,348,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
